model,dataset,prompt_condition,n_observed,n_recovered,n_correct,n_instruction_compliant,answer_recovery_rate,accuracy,conditional_accuracy,instruction_compliant_rate,unknown_rate
gemma3:4b,arc_challenge,P0,9,9,5,9,1.0,0.5556,0.5556,1.0,0.0
gemma3:4b,arc_challenge,P1,9,9,5,9,1.0,0.5556,0.5556,1.0,0.0
gemma3:4b,arc_challenge,P2,9,9,6,9,1.0,0.6667,0.6667,1.0,0.0
gemma3:4b,arc_challenge,P3,9,9,6,9,1.0,0.6667,0.6667,1.0,0.0
gemma3:4b,arc_challenge,P4,9,9,5,9,1.0,0.5556,0.5556,1.0,0.0
llama3.2:3b,arc_challenge,P0,8,8,3,8,1.0,0.375,0.375,1.0,0.0
llama3.2:3b,arc_challenge,P1,8,8,3,8,1.0,0.375,0.375,1.0,0.0
llama3.2:3b,arc_challenge,P2,8,8,2,7,1.0,0.25,0.25,0.875,0.0
llama3.2:3b,arc_challenge,P3,8,8,3,8,1.0,0.375,0.375,1.0,0.0
llama3.2:3b,arc_challenge,P4,8,8,5,2,1.0,0.625,0.625,0.25,0.0
mistral:7b,arc_challenge,P0,9,9,4,1,1.0,0.4444,0.4444,0.1111,0.0
mistral:7b,arc_challenge,P1,9,9,6,4,1.0,0.6667,0.6667,0.4444,0.0
mistral:7b,arc_challenge,P2,9,9,4,4,1.0,0.4444,0.4444,0.4444,0.0
mistral:7b,arc_challenge,P3,9,9,5,0,1.0,0.5556,0.5556,0.0,0.0
mistral:7b,arc_challenge,P4,9,9,5,2,1.0,0.5556,0.5556,0.2222,0.0
phi4-mini:latest,arc_challenge,P0,9,8,5,0,0.8889,0.5556,0.625,0.0,0.1111
phi4-mini:latest,arc_challenge,P1,9,9,5,2,1.0,0.5556,0.5556,0.2222,0.0
phi4-mini:latest,arc_challenge,P2,9,9,5,2,1.0,0.5556,0.5556,0.2222,0.0
phi4-mini:latest,arc_challenge,P3,9,9,4,0,1.0,0.4444,0.4444,0.0,0.0
phi4-mini:latest,arc_challenge,P4,9,9,4,0,1.0,0.4444,0.4444,0.0,0.0
