model,domain,n_questions,accuracy,mean_consistency,unknown_rate
gemma3:4b,education,200,1.0,0.7033,0.0013
gemma3:4b,legal,200,0.975,0.7788,0.0163
gemma3:4b,science,200,1.0,0.73,0.0
llama3.2:3b,education,200,1.0,0.7117,0.005
llama3.2:3b,legal,200,0.985,0.7363,0.0288
llama3.2:3b,science,200,1.0,0.7821,0.0063
mistral:7b,education,200,1.0,0.7358,0.0013
mistral:7b,legal,200,1.0,0.9171,0.0175
mistral:7b,science,200,1.0,0.7358,0.0013
phi4-mini,education,200,1.0,0.7384,0.0275
phi4-mini,legal,200,0.975,0.6783,0.0138
phi4-mini,science,200,1.0,0.7567,0.0037
