model,domain,style,accuracy,n
gemma3:4b,education,bare,0.74,200
gemma3:4b,education,instructed,0.75,200
gemma3:4b,education,negation,0.885,200
gemma3:4b,education,roleplay,0.765,200
gemma3:4b,legal,bare,0.785,200
gemma3:4b,legal,instructed,0.73,200
gemma3:4b,legal,negation,0.615,200
gemma3:4b,legal,roleplay,0.72,200
gemma3:4b,science,bare,0.885,200
gemma3:4b,science,instructed,0.885,200
gemma3:4b,science,negation,0.98,200
gemma3:4b,science,roleplay,0.875,200
llama3.2:3b,education,bare,0.74,200
llama3.2:3b,education,instructed,0.645,200
llama3.2:3b,education,negation,0.69,200
llama3.2:3b,education,roleplay,0.645,200
llama3.2:3b,legal,bare,0.73,200
llama3.2:3b,legal,instructed,0.6,200
llama3.2:3b,legal,negation,0.47,200
llama3.2:3b,legal,roleplay,0.605,200
llama3.2:3b,science,bare,0.89,200
llama3.2:3b,science,instructed,0.925,200
llama3.2:3b,science,negation,0.73,200
llama3.2:3b,science,roleplay,0.895,200
mistral:7b,education,bare,0.78,200
mistral:7b,education,instructed,0.76,200
mistral:7b,education,negation,0.88,200
mistral:7b,education,roleplay,0.745,200
mistral:7b,legal,bare,0.665,200
mistral:7b,legal,instructed,0.68,200
mistral:7b,legal,negation,0.415,200
mistral:7b,legal,roleplay,0.66,200
mistral:7b,science,bare,0.85,200
mistral:7b,science,instructed,0.855,200
mistral:7b,science,negation,0.955,200
mistral:7b,science,roleplay,0.835,200
phi4-mini,education,bare,0.645,200
phi4-mini,education,instructed,0.82,200
phi4-mini,education,negation,0.75,200
phi4-mini,education,roleplay,0.82,200
phi4-mini,legal,bare,0.725,200
phi4-mini,legal,instructed,0.74,200
phi4-mini,legal,negation,0.13,200
phi4-mini,legal,roleplay,0.635,200
phi4-mini,science,bare,0.77,200
phi4-mini,science,instructed,0.86,200
phi4-mini,science,negation,0.79,200
phi4-mini,science,roleplay,0.85,200
